Scrape_Timestamp,Days_to_Departure,Departure_Date,Day_of_Week,Departure_Time,Arrival_Time,Source_City,Destination_City,Airline,Flight_Number,Total_Duration_Mins,Number_of_Stops,CO2_Emissions_Grams,Price_Level,Flight_Category,Price_INR
2026-06-12 14:41:18,1,2026-06-13,Saturday,7:00 AM,9:10 AM,BOM,DEL,IndiGo,,130,0,89000,High,Best,15102
2026-06-12 14:41:18,1,2026-06-13,Saturday,6:35 PM,11:00 PM,BOM,DEL,IndiGo,AG 131,265,1,131000,High,Cheapest,14193
2026-06-12 14:42:15,1,2026-06-13,Saturday,8:35 AM,2:45 PM,CCU,BOM,IndiGo,AA 177,370,1,177000,High,Best,22777
2026-06-12 14:42:15,1,2026-06-13,Saturday,8:35 AM,2:45 PM,CCU,BOM,IndiGo,AA 177,370,1,177000,High,Cheapest,22777
2026-06-12 14:43:17,1,2026-06-13,Saturday,10:25 AM,7:15 PM,JAI,BOM,IndiGo,DR 107,530,1,107000,High,Best,9507
2026-06-12 14:43:17,1,2026-06-13,Saturday,10:25 AM,7:15 PM,JAI,BOM,IndiGo,DR 107,530,1,107000,High,Cheapest,9507
2026-06-13 03:36:21,1,2026-06-14,Sunday,7:00 AM,9:10 AM,BOM,DEL,IndiGo,,130,0,89000,Typical,Best,7924
2026-06-13 03:36:21,1,2026-06-14,Sunday,8:05 AM,12:55 PM,BOM,DEL,IndiGo,AG 126,290,1,126000,Typical,Cheapest,7424
2026-06-13 12:17:04,1,2026-06-14,Sunday,11:00 PM,1:55 AM,CCU,BOM,Akasa Air,,175,0,110000,High,Best,12632
2026-06-13 12:17:04,1,2026-06-14,Sunday,6:00 AM,12:20 PM,CCU,BOM,IndiGo,MD 161,380,1,161000,High,Cheapest,12383
2026-06-13 12:17:19,3,2026-06-16,Tuesday,6:55 PM,11:45 PM,CCU,BOM,IndiGo,DR 146,290,1,146000,High,Best,10142
2026-06-13 12:17:19,3,2026-06-16,Tuesday,6:55 PM,11:45 PM,CCU,BOM,IndiGo,DR 146,290,1,146000,High,Cheapest,10142
2026-06-13 12:17:32,7,2026-06-20,Saturday,2:00 AM,4:45 AM,CCU,BOM,IndiGo,,165,0,116000,High,Best,7779
2026-06-13 12:17:32,7,2026-06-20,Saturday,2:00 AM,4:45 AM,CCU,BOM,IndiGo,,165,0,116000,High,Cheapest,7779
2026-06-13 12:17:47,14,2026-06-27,Saturday,3:25 AM,6:05 AM,CCU,BOM,Akasa Air,,160,0,117000,Typical,Best,7538
2026-06-13 12:17:47,14,2026-06-27,Saturday,3:25 AM,6:05 AM,CCU,BOM,Akasa Air,,160,0,117000,Typical,Cheapest,7538
2026-06-13 12:17:58,30,2026-07-13,Monday,7:50 AM,1:15 PM,CCU,BOM,IndiGo,BI 141,325,1,141000,High,Best,7698
2026-06-13 12:17:58,30,2026-07-13,Monday,7:50 AM,1:15 PM,CCU,BOM,IndiGo,BI 141,325,1,141000,High,Cheapest,7698
2026-06-13 12:18:11,60,2026-08-12,Wednesday,11:00 PM,1:55 AM,CCU,BOM,Akasa Air,,175,0,121000,High,Best,6433
2026-06-13 12:18:11,60,2026-08-12,Wednesday,11:00 PM,1:55 AM,CCU,BOM,Akasa Air,,175,0,121000,High,Cheapest,6433
2026-06-13 12:18:27,1,2026-06-14,Sunday,6:00 AM,11:35 AM,CCU,DEL,IndiGo,MD 173,335,1,173000,High,Best,7596
2026-06-13 12:18:27,1,2026-06-14,Sunday,6:00 AM,11:35 AM,CCU,DEL,IndiGo,MD 173,335,1,173000,High,Cheapest,7596
2026-06-13 12:18:42,3,2026-06-16,Tuesday,3:00 AM,5:25 AM,CCU,DEL,IndiGo,,145,0,96000,High,Best,7329
2026-06-13 12:18:42,3,2026-06-16,Tuesday,7:10 AM,1:45 PM,CCU,DEL,IndiGo,NS 118,395,1,118000,High,Cheapest,7098
2026-06-13 12:18:57,7,2026-06-20,Saturday,3:00 AM,5:25 AM,CCU,DEL,IndiGo,,145,0,96000,High,Best,7033
2026-06-13 12:18:57,7,2026-06-20,Saturday,3:00 AM,5:25 AM,CCU,DEL,IndiGo,,145,0,96000,High,Cheapest,7033
2026-06-13 12:19:14,14,2026-06-27,Saturday,5:20 AM,7:45 AM,CCU,DEL,IndiGo,,145,0,96000,High,Best,6815
2026-06-13 12:19:14,14,2026-06-27,Saturday,5:20 AM,7:45 AM,CCU,DEL,IndiGo,,145,0,96000,High,Cheapest,6815
2026-06-13 12:19:31,30,2026-07-13,Monday,10:45 AM,3:15 PM,CCU,DEL,IndiGo,AT 137,270,1,137000,High,Best,6464
2026-06-13 12:19:31,30,2026-07-13,Monday,10:45 AM,3:15 PM,CCU,DEL,IndiGo,AT 137,270,1,137000,High,Cheapest,6464
2026-06-13 12:19:48,60,2026-08-12,Wednesday,7:55 PM,10:25 PM,CCU,DEL,Akasa Air,,150,0,102000,High,Best,6433
2026-06-13 12:19:48,60,2026-08-12,Wednesday,10:45 AM,3:15 PM,CCU,DEL,IndiGo,AT 139,270,1,139000,High,Cheapest,6212
2026-06-13 12:20:02,1,2026-06-14,Sunday,5:05 AM,10:05 AM,CCU,BLR,IndiGo,AA 133,300,1,133000,High,Best,12574
2026-06-13 12:20:02,1,2026-06-14,Sunday,5:05 AM,10:05 AM,CCU,BLR,IndiGo,AA 133,300,1,133000,High,Cheapest,12574
2026-06-13 12:20:17,3,2026-06-16,Tuesday,8:20 AM,11:00 AM,CCU,BLR,IndiGo,,160,0,108000,High,Best,12111
2026-06-13 12:20:17,3,2026-06-16,Tuesday,8:20 AM,11:00 AM,CCU,BLR,IndiGo,,160,0,108000,High,Cheapest,12111
2026-06-13 12:20:31,7,2026-06-20,Saturday,8:00 PM,1:30 AM,CCU,BLR,IndiGo,NQ 170,330,1,170000,High,Best,8217
2026-06-13 12:20:31,7,2026-06-20,Saturday,8:00 PM,1:30 AM,CCU,BLR,IndiGo,NQ 170,330,1,170000,High,Cheapest,8217
2026-06-13 12:20:45,14,2026-06-27,Saturday,6:30 AM,9:10 AM,CCU,BLR,IndiGo,,160,0,108000,High,Best,7959
2026-06-13 12:20:45,14,2026-06-27,Saturday,3:00 PM,9:20 PM,CCU,BLR,IndiGo,YD 140,380,1,140000,High,Cheapest,7702
2026-06-13 12:20:57,30,2026-07-13,Monday,8:20 AM,11:00 AM,CCU,BLR,IndiGo,,160,0,110000,High,Best,7208
2026-06-13 12:20:57,30,2026-07-13,Monday,8:20 AM,11:00 AM,CCU,BLR,IndiGo,,160,0,110000,High,Cheapest,7208
2026-06-13 12:21:08,60,2026-08-12,Wednesday,8:20 AM,11:00 AM,CCU,BLR,IndiGo,,160,0,111000,High,Best,6804
2026-06-13 12:21:08,60,2026-08-12,Wednesday,8:20 AM,11:00 AM,CCU,BLR,IndiGo,,160,0,111000,High,Cheapest,6804
2026-06-13 12:21:20,1,2026-06-14,Sunday,5:20 AM,7:30 AM,CCU,HYD,IndiGo,,130,0,89000,High,Best,15212
